Customer_ID,City,Gender,Age,Subscription_Plan,Tenure_Months,Total_Orders,Avg_Order_Value,Total_Spend,Support_Tickets,Satisfaction_Score,Days_Since_Last_Purchase,Churn,Age_Group,Customer_Segment,Purchase_Risk,Support_Risk,Satisfaction_Risk,Risk_Score,Risk_Level
CUST1030,Mumbai,Female,53,Premium,20,8,2040.62,16324.96,1,4.4,106,No,51-60,Medium Value,0,0,0,0,Low
CUST1031,Pune,Female,41,Premium,6,11,3502.27,38524.97,3,5.0,89,No,36-50,VIP,0,1,0,1,Medium
CUST1032,Indore,Male,32,Standard,22,4,4081.31,16325.24,3,3.2,33,No,26-35,Medium Value,0,1,0,1,Medium
CUST1033,Mumbai,Male,46,Premium,18,7,3092.24,21645.68,0,4.9,97,No,36-50,High Value,0,0,0,0,Low
CUST1034,Bhopal,Male,25,Basic,8,9,741.92,6677.28,0,2.6,79,No,18-25,Low Value,0,0,1,1,Medium
CUST1035,Bengaluru,Female,22,Premium,39,6,3122.48,18734.88,3,3.5,16,No,18-25,Medium Value,0,1,0,1,Medium
CUST1036,Pune,Male,46,Basic,32,6,2968.8,17812.8,4,3.2,44,Yes,36-50,Medium Value,0,1,0,1,Medium
CUST1037,Mumbai,Male,21,Premium,33,6,3684.21,22105.26,2,4.1,120,Yes,18-25,High Value,0,0,0,0,Low
CUST1038,Indore,Female,29,Basic,53,15,3766.04,56490.6,1,4.1,134,No,26-35,VIP,1,0,0,1,Medium
CUST1039,Indore,Male,19,Standard,16,4,3946.45,15785.8,0,2.8,108,No,18-25,Medium Value,0,0,1,1,Medium
CUST1040,Delhi,Female,44,Standard,12,8,2039.35,16314.8,4,4.2,143,Yes,36-50,Medium Value,1,1,0,2,High
CUST1041,Delhi,Male,48,Basic,38,14,3231.03,45234.42,1,3.3,4,No,36-50,VIP,0,0,0,0,Low
CUST1042,Hyderabad,Male,53,Basic,52,7,1426.65,9986.55,2,2.9,56,No,51-60,Low Value,0,0,1,1,Medium
CUST1043,Bhopal,Female,53,Basic,34,5,4497.21,22486.05,4,3.6,64,No,51-60,High Value,0,1,0,1,Medium
CUST1044,Jaipur,Male,43,Basic,14,8,1036.4,8291.2,3,2.3,162,Yes,36-50,Low Value,1,1,1,3,Critical
CUST1045,Mumbai,Male,60,Standard,36,10,342.48,3424.8,1,4.4,95,No,51-60,Low Value,0,0,0,0,Low
CUST1046,Mumbai,Female,44,Basic,33,5,925.0,4625.0,0,3.5,56,No,36-50,Low Value,0,0,0,0,Low
CUST1047,Jaipur,Female,22,Standard,23,8,3558.66,28469.28,1,3.6,32,No,18-25,High Value,0,0,0,0,Low
CUST1048,Hyderabad,Male,37,Basic,50,10,2176.49,21764.9,2,3.5,116,No,36-50,High Value,0,0,0,0,Low
CUST1049,Bengaluru,Female,28,Premium,45,6,2179.5,13077.0,2,5.0,9,No,26-35,Medium Value,0,0,0,0,Low
CUST1050,Bengaluru,Male,27,Basic,2,9,4311.1,38799.9,0,5.0,105,Yes,26-35,VIP,0,0,0,0,Low
CUST1051,Hyderabad,Male,57,Basic,41,13,4162.47,54112.11,0,4.8,78,No,51-60,VIP,0,0,0,0,Low
CUST1052,Bengaluru,Female,55,Basic,21,5,1607.02,8035.1,2,3.5,161,Yes,51-60,Low Value,1,0,0,1,Medium
CUST1053,Delhi,Female,23,Standard,2,11,1178.04,12958.44,3,2.6,87,Yes,18-25,Medium Value,0,1,1,2,High
CUST1054,Mumbai,Female,25,Premium,27,10,3863.63,38636.3,1,3.6,21,No,18-25,VIP,0,0,0,0,Low
CUST1055,Hyderabad,Female,40,Standard,57,12,4105.28,49263.36,3,3.9,55,No,36-50,VIP,0,1,0,1,Medium
CUST1056,Mumbai,Other,43,Basic,9,10,2574.71,25747.1,1,4.3,76,No,36-50,High Value,0,0,0,0,Low
CUST1057,Jaipur,Male,60,Standard,1,11,2943.58,32379.38,1,3.9,130,Yes,51-60,VIP,1,0,0,1,Medium
CUST1058,Indore,Male,29,Standard,11,6,1379.04,8274.24,7,2.7,141,Yes,26-35,Low Value,1,1,1,3,Critical
CUST1059,Delhi,Female,43,Basic,3,8,3663.37,29306.96,0,3.1,126,Yes,36-50,High Value,1,0,0,1,Medium
CUST1060,Pune,Male,30,Standard,52,10,2954.91,29549.1,0,3.0,132,No,26-35,VIP,1,0,0,1,Medium
CUST1061,Delhi,Male,57,Premium,23,7,2414.76,16903.32,3,4.1,84,No,51-60,Medium Value,0,1,0,1,Medium
CUST1062,Hyderabad,Male,35,Basic,26,8,552.46,4419.68,1,4.1,178,No,26-35,Low Value,1,0,0,1,Medium
CUST1063,Pune,Male,42,Standard,4,10,4146.93,41469.3,1,4.2,115,No,36-50,VIP,0,0,0,0,Low
CUST1064,Indore,Female,50,Standard,18,8,2884.9,23079.2,3,3.9,48,No,36-50,High Value,0,1,0,1,Medium
CUST1065,Hyderabad,Female,57,Standard,55,11,1109.3,12202.3,1,1.7,123,Yes,51-60,Medium Value,1,0,1,2,High
CUST1066,Bhopal,Female,60,Basic,6,11,2846.82,31315.02,1,2.0,78,Yes,51-60,VIP,0,0,1,1,Medium
CUST1067,Mumbai,Male,29,Basic,35,11,3145.35,34598.85,4,3.5,30,No,26-35,VIP,0,1,0,1,Medium
CUST1068,Indore,Male,53,Premium,22,6,2508.24,15049.44,1,3.7,29,No,51-60,Medium Value,0,0,0,0,Low
CUST1069,Mumbai,Male,21,Premium,43,11,3316.03,36476.33,2,4.7,136,No,18-25,VIP,1,0,0,1,Medium
CUST1070,Bengaluru,Male,22,Standard,15,13,2742.11,35647.43,2,3.7,140,No,18-25,VIP,1,0,0,1,Medium
CUST1071,Bhopal,Female,54,Standard,22,4,4280.63,17122.52,2,2.7,41,No,51-60,Medium Value,0,0,1,1,Medium
CUST1072,Bhopal,Female,25,Standard,60,7,525.53,3678.71,2,4.2,26,No,18-25,Low Value,0,0,0,0,Low
CUST1073,Indore,Female,59,Standard,37,13,746.23,9700.99,1,3.6,50,No,51-60,Low Value,0,0,0,0,Low
CUST1074,Bhopal,Male,45,Standard,52,3,1029.42,3088.26,2,3.2,2,No,36-50,Low Value,0,0,0,0,Low
CUST1075,Pune,Female,48,Basic,42,5,3198.72,15993.6,1,2.1,55,No,36-50,Medium Value,0,0,1,1,Medium
CUST1076,Bhopal,Female,26,Premium,12,11,3011.5,33126.5,1,3.7,104,No,26-35,VIP,0,0,0,0,Low
CUST1077,Mumbai,Female,46,Standard,47,6,4046.65,24279.9,0,3.8,14,No,36-50,High Value,0,0,0,0,Low
CUST1078,Mumbai,Female,31,Premium,49,8,3378.09,27024.72,1,2.7,134,Yes,26-35,High Value,1,0,1,2,High
CUST1079,Hyderabad,Male,57,Basic,42,9,2435.09,21915.81,2,4.3,128,Yes,51-60,High Value,1,0,0,1,Medium
CUST1080,Mumbai,Male,58,Basic,38,7,4465.69,31259.83,3,4.2,104,No,51-60,VIP,0,1,0,1,Medium
CUST1081,Hyderabad,Male,39,Basic,18,12,1417.65,17011.8,0,3.6,95,No,36-50,Medium Value,0,0,0,0,Low
CUST1082,Mumbai,Female,28,Standard,45,11,3799.4,41793.4,2,3.6,81,No,26-35,VIP,0,0,0,0,Low
CUST1083,Pune,Male,40,Premium,35,10,2092.52,20925.2,0,4.5,61,No,36-50,High Value,0,0,0,0,Low
CUST1084,Jaipur,Male,18,Basic,30,12,3024.69,36296.28,2,3.9,12,No,18-25,VIP,0,0,0,0,Low
CUST1085,Hyderabad,Male,54,Premium,24,9,3354.53,30190.77,4,3.0,13,No,51-60,VIP,0,1,0,1,Medium
CUST1086,Delhi,Male,38,Standard,42,8,2961.77,23694.16,2,3.4,147,No,36-50,High Value,1,0,0,1,Medium
CUST1087,Bengaluru,Female,43,Premium,30,9,890.13,8011.17,1,4.1,172,No,36-50,Low Value,1,0,0,1,Medium
CUST1088,Indore,Female,53,Basic,14,5,2160.39,10801.95,1,1.8,89,No,51-60,Low Value,0,0,1,1,Medium
CUST1089,Mumbai,Male,40,Premium,6,11,2658.04,29238.44,3,2.8,95,Yes,36-50,High Value,0,1,1,2,High
CUST1090,Bhopal,Male,18,Standard,3,9,3865.98,34793.82,2,4.2,59,No,18-25,VIP,0,0,0,0,Low
CUST1091,Jaipur,Male,57,Basic,16,8,2163.31,17306.48,1,4.7,37,No,51-60,Medium Value,0,0,0,0,Low
CUST1092,Mumbai,Male,32,Basic,7,12,4158.74,49904.88,3,4.5,25,No,26-35,VIP,0,1,0,1,Medium
CUST1093,Bhopal,Male,38,Premium,52,9,2149.57,19346.13,2,4.4,16,No,36-50,High Value,0,0,0,0,Low
CUST1094,Bengaluru,Male,26,Premium,14,8,2604.88,20839.04,1,3.7,166,No,26-35,High Value,1,0,0,1,Medium
CUST1095,Bengaluru,Male,26,Basic,9,13,3644.4,47377.2,2,2.7,171,No,26-35,VIP,1,0,1,2,High
CUST1096,Bengaluru,Female,27,Standard,15,12,2748.88,32986.56,1,3.4,87,No,26-35,VIP,0,0,0,0,Low
CUST1097,Bhopal,Female,43,Premium,21,14,4332.92,60660.88,2,1.8,142,No,36-50,VIP,1,0,1,2,High
CUST1098,Mumbai,Male,58,Premium,35,12,3073.41,36880.92,0,4.8,134,No,51-60,VIP,1,0,0,1,Medium
CUST1099,Bengaluru,Male,52,Premium,2,11,2495.38,27449.18,3,2.9,23,Yes,51-60,High Value,0,1,1,2,High
CUST1100,Pune,Female,42,Standard,27,11,399.09,4389.99,3,3.1,126,Yes,36-50,Low Value,1,1,0,2,High
CUST1101,Hyderabad,Male,43,Standard,2,11,2037.68,22414.48,1,4.6,60,No,36-50,High Value,0,0,0,0,Low
CUST1102,Bhopal,Female,28,Basic,35,3,1556.84,4670.52,1,2.1,140,No,26-35,Low Value,1,0,1,2,High
CUST1103,Bhopal,Female,55,Basic,18,16,3442.04,55072.64,0,2.5,141,No,51-60,VIP,1,0,1,2,High
CUST1104,Mumbai,Male,19,Standard,14,11,1174.77,12922.47,2,3.8,100,No,18-25,Medium Value,0,0,0,0,Low
CUST1105,Bhopal,Male,24,Standard,20,6,1161.92,6971.52,0,4.1,103,No,18-25,Low Value,0,0,0,0,Low
CUST1106,Bhopal,Female,35,Basic,18,10,1095.98,10959.8,3,3.5,134,Yes,26-35,Low Value,1,1,0,2,High
CUST1107,Bengaluru,Male,44,Premium,10,10,827.59,8275.9,0,3.6,63,No,36-50,Low Value,0,0,0,0,Low
CUST1108,Mumbai,Female,51,Standard,25,9,1606.23,14456.07,1,4.7,38,No,51-60,Medium Value,0,0,0,0,Low
CUST1109,Bengaluru,Female,44,Standard,2,9,4020.87,36187.83,2,4.2,128,No,36-50,VIP,1,0,0,1,Medium
CUST1110,Hyderabad,Female,34,Standard,25,12,3554.7,42656.4,4,4.1,50,No,26-35,VIP,0,1,0,1,Medium
CUST1111,Jaipur,Male,60,Standard,54,8,3388.06,27104.48,1,4.3,180,No,51-60,High Value,1,0,0,1,Medium
CUST1112,Hyderabad,Female,41,Basic,33,10,3648.81,36488.1,4,3.3,40,No,36-50,VIP,0,1,0,1,Medium
CUST1113,Jaipur,Male,42,Basic,36,8,1431.56,11452.48,0,5.0,8,No,36-50,Medium Value,0,0,0,0,Low
CUST1114,Bengaluru,Female,24,Basic,31,4,4027.26,16109.04,1,1.5,8,No,18-25,Medium Value,0,0,1,1,Medium
CUST1115,Hyderabad,Female,23,Basic,14,11,876.67,9643.37,2,4.9,104,No,18-25,Low Value,0,0,0,0,Low
CUST1116,Mumbai,Male,41,Standard,1,8,1712.65,13701.2,0,4.4,34,No,36-50,Medium Value,0,0,0,0,Low
CUST1117,Indore,Female,50,Standard,46,7,2764.34,19350.38,1,3.8,57,No,36-50,High Value,0,0,0,0,Low
CUST1118,Bengaluru,Female,46,Basic,16,12,732.2,8786.4,4,3.7,174,No,36-50,Low Value,1,1,0,2,High
CUST1119,Jaipur,Male,60,Standard,54,5,3366.55,16832.75,1,3.5,22,No,51-60,Medium Value,0,0,0,0,Low
CUST1120,Pune,Male,39,Basic,46,5,1926.43,9632.15,1,4.6,87,No,36-50,Low Value,0,0,0,0,Low
CUST1121,Jaipur,Male,43,Premium,52,6,3594.5,21567.0,4,3.6,40,No,36-50,High Value,0,1,0,1,Medium
CUST1122,Pune,Male,45,Premium,3,9,2370.16,21331.44,0,2.9,173,No,36-50,High Value,1,0,1,2,High
CUST1123,Bhopal,Male,38,Basic,35,11,1059.67,11656.37,3,4.4,179,No,36-50,Medium Value,1,1,0,2,High
CUST1124,Hyderabad,Female,24,Standard,41,13,3386.0,44018.0,3,5.0,86,No,18-25,VIP,0,1,0,1,Medium
CUST1125,Pune,Male,34,Basic,6,10,1359.0,13590.0,0,1.9,133,No,26-35,Medium Value,1,0,1,2,High
CUST1126,Jaipur,Male,37,Standard,25,4,2361.4,9445.6,4,5.0,95,No,36-50,Low Value,0,1,0,1,Medium
CUST1127,Bhopal,Female,58,Standard,13,9,617.24,5555.16,2,2.7,13,No,51-60,Low Value,0,0,1,1,Medium
CUST1128,Indore,Male,37,Basic,53,8,2895.04,23160.32,2,2.7,28,No,36-50,High Value,0,0,1,1,Medium
CUST1129,Mumbai,Female,39,Standard,34,11,3096.6,34062.6,1,2.5,84,No,36-50,VIP,0,0,1,1,Medium
CUST1130,Mumbai,Male,45,Basic,8,8,1890.43,15123.44,2,3.6,62,No,36-50,Medium Value,0,0,0,0,Low
CUST1131,Mumbai,Male,57,Basic,21,11,4308.58,47394.38,0,2.4,93,No,51-60,VIP,0,0,1,1,Medium
CUST1132,Pune,Female,24,Standard,34,10,3971.51,39715.1,3,2.6,87,No,18-25,VIP,0,1,1,2,High
CUST1133,Indore,Female,18,Basic,4,5,3273.35,16366.75,1,3.0,24,No,18-25,Medium Value,0,0,0,0,Low
CUST1134,Pune,Female,49,Standard,25,7,3297.34,23081.38,3,3.7,98,No,36-50,High Value,0,1,0,1,Medium
CUST1135,Hyderabad,Female,30,Standard,15,10,1360.09,13600.9,2,3.8,7,No,26-35,Medium Value,0,0,0,0,Low
CUST1136,Pune,Female,47,Premium,4,12,3058.62,36703.44,0,4.7,166,No,36-50,VIP,1,0,0,1,Medium
CUST1137,Indore,Male,40,Basic,45,12,1132.47,13589.64,3,4.7,37,No,36-50,Medium Value,0,1,0,1,Medium
CUST1138,Indore,Male,36,Standard,60,4,904.81,3619.24,2,4.5,68,No,36-50,Low Value,0,0,0,0,Low
CUST1139,Hyderabad,Female,49,Standard,12,8,4497.77,35982.16,1,3.4,170,No,36-50,VIP,1,0,0,1,Medium
CUST1140,Indore,Female,47,Standard,32,11,2913.98,32053.78,2,1.9,86,No,36-50,VIP,0,0,1,1,Medium
CUST1141,Jaipur,Other,46,Premium,32,11,2110.15,23211.65,0,1.9,133,No,36-50,High Value,1,0,1,2,High
CUST1142,Indore,Male,46,Standard,28,12,1510.29,18123.48,2,4.5,178,No,36-50,Medium Value,1,0,0,1,Medium
CUST1143,Mumbai,Male,47,Standard,13,6,2836.47,17018.82,4,4.4,87,No,36-50,Medium Value,0,1,0,1,Medium
CUST1144,Jaipur,Female,33,Standard,31,6,508.29,3049.74,1,3.0,15,No,26-35,Low Value,0,0,0,0,Low
CUST1145,Jaipur,Male,57,Premium,14,11,697.66,7674.26,2,2.3,123,No,51-60,Low Value,1,0,1,2,High
CUST1146,Hyderabad,Female,36,Premium,20,11,438.0,4818.0,1,2.7,107,No,36-50,Low Value,0,0,1,1,Medium
CUST1147,Delhi,Female,35,Standard,18,10,2396.51,23965.1,2,3.8,153,No,26-35,High Value,1,0,0,1,Medium
CUST1148,Delhi,Male,18,Standard,29,6,2822.55,16935.3,2,3.8,89,No,18-25,Medium Value,0,0,0,0,Low
CUST1149,Indore,Female,31,Basic,60,13,562.41,7311.33,3,4.5,125,No,26-35,Low Value,1,1,0,2,High
CUST1150,Jaipur,Female,19,Basic,6,7,3329.14,23303.98,2,3.2,113,Yes,18-25,High Value,0,0,0,0,Low
CUST1151,Delhi,Male,45,Standard,32,11,1267.66,13944.26,0,3.4,137,No,36-50,Medium Value,1,0,0,1,Medium
CUST1152,Delhi,Female,47,Basic,29,7,3177.85,22244.95,0,4.6,166,No,36-50,High Value,1,0,0,1,Medium
CUST1153,Indore,Male,55,Standard,43,17,4423.97,75207.49,0,1.7,150,Yes,51-60,VIP,1,0,1,2,High
CUST1154,Delhi,Female,21,Basic,2,12,3202.64,38431.68,3,3.9,107,Yes,18-25,VIP,0,1,0,1,Medium
CUST1155,Pune,Male,18,Basic,60,7,4009.41,28065.87,3,3.3,87,No,18-25,High Value,0,1,0,1,Medium
CUST1156,Bhopal,Female,25,Standard,23,5,4282.43,21412.15,2,4.2,177,No,18-25,High Value,1,0,0,1,Medium
CUST1157,Hyderabad,Male,46,Premium,19,12,2344.35,28132.2,0,4.1,68,No,36-50,High Value,0,0,0,0,Low
CUST1158,Bhopal,Male,56,Basic,31,8,3249.76,25998.08,3,3.0,15,No,51-60,High Value,0,1,0,1,Medium
CUST1159,Indore,Female,20,Standard,51,9,3878.27,34904.43,0,3.1,65,No,18-25,VIP,0,0,0,0,Low
CUST1160,Mumbai,Male,49,Premium,5,9,1797.76,16179.84,1,1.5,54,No,36-50,Medium Value,0,0,1,1,Medium
CUST1161,Hyderabad,Male,27,Basic,19,8,1397.87,11182.96,3,4.3,158,No,26-35,Low Value,1,1,0,2,High
CUST1162,Indore,Female,27,Premium,34,12,4275.71,51308.52,3,3.8,93,No,26-35,VIP,0,1,0,1,Medium
CUST1163,Jaipur,Female,36,Standard,10,14,3350.47,46906.58,2,4.9,20,No,36-50,VIP,0,0,0,0,Low
CUST1164,Mumbai,Female,51,Basic,25,10,1222.66,12226.6,1,3.2,33,No,51-60,Medium Value,0,0,0,0,Low
CUST1165,Bhopal,Female,50,Premium,2,12,2186.15,26233.8,4,4.4,100,No,36-50,High Value,0,1,0,1,Medium
CUST1166,Indore,Male,40,Basic,11,12,3645.1,43741.2,6,2.6,77,Yes,36-50,VIP,0,1,1,2,High
CUST1167,Jaipur,Male,45,Standard,50,12,2597.66,31171.92,2,1.2,135,No,36-50,VIP,1,0,1,2,High
CUST1168,Hyderabad,Male,49,Premium,31,8,3029.8,24238.4,0,3.5,136,No,36-50,High Value,1,0,0,1,Medium
CUST1169,Hyderabad,Female,24,Basic,56,3,3465.83,10397.49,3,3.1,156,No,18-25,Low Value,1,1,0,2,High
CUST1170,Bengaluru,Female,46,Standard,15,6,2912.44,17474.64,0,2.7,173,No,36-50,Medium Value,1,0,1,2,High
CUST1171,Jaipur,Female,25,Premium,9,9,2568.33,23114.97,0,4.4,107,No,18-25,High Value,0,0,0,0,Low
CUST1172,Pune,Female,18,Basic,23,14,3448.38,48277.32,0,4.7,120,Yes,18-25,VIP,0,0,0,0,Low
CUST1173,Delhi,Male,20,Premium,19,11,3355.76,36913.36,0,3.7,74,No,18-25,VIP,0,0,0,0,Low
CUST1174,Mumbai,Male,41,Standard,9,8,2945.46,23563.68,4,3.4,11,Yes,36-50,High Value,0,1,0,1,Medium
CUST1175,Jaipur,Male,40,Standard,35,5,1811.12,9055.6,0,3.7,31,No,36-50,Low Value,0,0,0,0,Low
CUST1176,Bengaluru,Female,25,Standard,21,13,2004.41,26057.33,0,3.0,12,No,18-25,High Value,0,0,0,0,Low
CUST1177,Delhi,Male,54,Basic,9,10,4375.84,43758.4,6,4.1,124,Yes,51-60,VIP,1,1,0,2,High
CUST1178,Delhi,Female,20,Premium,28,11,772.02,8492.22,3,2.2,78,No,18-25,Low Value,0,1,1,2,High
CUST1179,Indore,Male,50,Premium,46,12,1427.72,17132.64,4,2.6,179,Yes,36-50,Medium Value,1,1,1,3,Critical
CUST1180,Delhi,Male,45,Standard,51,5,2368.09,11840.45,3,2.9,172,Yes,36-50,Medium Value,1,1,1,3,Critical
CUST1181,Pune,Male,25,Standard,7,6,3814.26,22885.56,2,4.1,96,No,18-25,High Value,0,0,0,0,Low
CUST1182,Hyderabad,Female,51,Standard,16,5,987.44,4937.2,2,3.3,50,No,51-60,Low Value,0,0,0,0,Low
CUST1183,Bengaluru,Female,52,Standard,16,9,1463.21,13168.89,1,4.8,117,No,51-60,Medium Value,0,0,0,0,Low
CUST1184,Delhi,Male,49,Standard,60,10,576.35,5763.5,2,4.3,17,No,36-50,Low Value,0,0,0,0,Low
CUST1185,Indore,Male,41,Standard,33,3,3265.14,9795.42,0,2.9,163,No,36-50,Low Value,1,0,1,2,High
CUST1186,Pune,Female,31,Standard,4,12,1300.48,15605.76,3,4.2,129,No,26-35,Medium Value,1,1,0,2,High
CUST1187,Bhopal,Male,49,Standard,4,7,1932.43,13527.01,2,3.2,157,Yes,36-50,Medium Value,1,0,0,1,Medium
CUST1188,Hyderabad,Female,60,Standard,39,10,2163.55,21635.5,2,4.0,179,No,51-60,High Value,1,0,0,1,Medium
CUST1189,Hyderabad,Female,33,Basic,40,15,4043.52,60652.8,3,4.4,64,No,26-35,VIP,0,1,0,1,Medium
CUST1190,Bengaluru,Male,21,Basic,17,12,2027.59,24331.08,0,4.6,132,No,18-25,High Value,1,0,0,1,Medium
CUST1191,Hyderabad,Male,54,Standard,37,9,909.95,8189.55,2,3.8,87,No,51-60,Low Value,0,0,0,0,Low
CUST1192,Delhi,Other,38,Standard,39,9,2502.12,22519.08,0,5.0,156,No,36-50,High Value,1,0,0,1,Medium
CUST1193,Indore,Male,31,Standard,60,12,4344.42,52133.04,0,4.0,16,No,26-35,VIP,0,0,0,0,Low
CUST1194,Hyderabad,Male,48,Standard,52,13,2852.28,37079.64,3,3.7,63,No,36-50,VIP,0,1,0,1,Medium
CUST1195,Hyderabad,Female,35,Standard,29,14,4430.23,62023.22,1,3.3,76,Yes,26-35,VIP,0,0,0,0,Low
CUST1196,Bhopal,Female,24,Standard,52,10,3832.65,38326.5,2,3.0,85,Yes,18-25,VIP,0,0,0,0,Low
CUST1197,Bhopal,Other,27,Basic,36,12,451.06,5412.72,1,4.0,109,No,26-35,Low Value,0,0,0,0,Low
CUST1198,Mumbai,Female,24,Standard,60,6,3065.28,18391.68,0,3.7,17,No,18-25,Medium Value,0,0,0,0,Low
CUST1199,Pune,Male,50,Standard,38,11,1504.42,16548.62,4,3.8,168,Yes,36-50,Medium Value,1,1,0,2,High
CUST1200,Delhi,Male,40,Premium,39,9,2650.39,23853.51,0,4.0,141,No,36-50,High Value,1,0,0,1,Medium
CUST1201,Hyderabad,Female,38,Standard,50,10,1473.25,14732.5,0,3.8,180,No,36-50,Medium Value,1,0,0,1,Medium
CUST1202,Jaipur,Female,36,Basic,37,7,1765.26,12356.82,1,5.0,58,No,36-50,Medium Value,0,0,0,0,Low
CUST1203,Hyderabad,Male,36,Basic,52,7,4177.31,29241.17,1,3.1,165,Yes,36-50,High Value,1,0,0,1,Medium
CUST1204,Indore,Female,53,Basic,35,12,1167.9,14014.8,2,4.0,79,No,51-60,Medium Value,0,0,0,0,Low
CUST1205,Mumbai,Male,46,Standard,7,12,3971.26,47655.12,2,3.4,61,No,36-50,VIP,0,0,0,0,Low
CUST1206,Pune,Male,35,Basic,27,8,427.92,3423.36,1,1.4,113,Yes,26-35,Low Value,0,0,1,1,Medium
CUST1207,Jaipur,Male,19,Standard,28,10,681.68,6816.8,0,3.4,121,No,18-25,Low Value,1,0,0,1,Medium
CUST1208,Mumbai,Male,18,Standard,22,5,3889.64,19448.2,2,2.8,34,No,18-25,High Value,0,0,1,1,Medium
CUST1209,Bengaluru,Male,22,Basic,14,14,2948.34,41276.76,2,3.5,70,No,18-25,VIP,0,0,0,0,Low
CUST1210,Pune,Male,37,Standard,7,6,3438.39,20630.34,1,3.6,17,No,36-50,High Value,0,0,0,0,Low
CUST1211,Hyderabad,Male,28,Basic,37,6,1179.55,7077.3,1,3.9,20,No,26-35,Low Value,0,0,0,0,Low
